公司,職缺,工作內容,福利制度,薪水
昱峰智能大數據科技股份有限公司,RD後端工程師,"1.智能系統平台後端之維護、設計與開發。(Python/spark/Django/Mongo/MySQL)
2.依專案需求分析及設計資料庫。
3.協同PM及前端設計師分析、討論、實作。
","【員工保險】依法提供勞工保險(含勞退)以及全民健保保險

【薪資制度、獎金】依照年度考核制度，績效獎金分紅/配股(員工紅利/認股)
                                    績效獎金:特別獎金、分紅獎金、激勵獎金等級制
                                
【員工照顧】提撥淨利最高20%獎金分紅(以考核依據為計算基礎)
                        年終獎金發放基礎最高標22個月~到低標0.75個月

【請 / 休假制度】依照政府公告例假休，女性員工生理假、週休二日制

【員工活動、福利】供應零食提供及每月二次早餐之約(公司幫你準備早餐)
                                    文藝活動票券(VIP觀賞區)、員工聚餐活動及咖啡茶點等供應

【推薦獎金】1.推薦非主管級人員，被推薦人到職滿6個月，給予推薦人NT$5,000
                         2.推薦主管級人員，被推薦人到職滿6個月，給予推薦人NT$10,000
","月薪30,000~100,000元"
昱峰智能大數據科技股份有限公司,業務行銷經理,"工作內容



1.孰悉晶圓廠半導體/LCD/LED/PCB/被動元件製造廠，能開拓新客戶及市場，確實能導入客戶，有實際銷售經驗。
2.推廣產品、採購報價及議價、售後服務及產品異常，接洽及合約簽訂。
3.對軟體系統及分析有經驗，
4.具標案管理經驗。
5.個性積極、有責任感。

一、行銷策略企劃與執行：
　　(1).品牌行銷管理及行銷策略擬定與執行
　　(2).專案規劃與執行（含主管交辦事項、跨部門合作或異業結盟）。
二、市場情報蒐集、研究與分析。
三、數位與實體活動之行銷規劃與執行。
四、EDM內容撰寫與發送。
五、行銷專案之進度管控與成效分析。
1.專案內容撰寫、規劃與活動企劃執行。
2.網站前後台管理、上架維護 。
3.專案成效追蹤報表。
4.品牌推廣與執行策略及計劃。
5.相關文宣資料的規劃與製作。
6.協助業務團隊規劃及改進行銷計劃。

六. 活動舉辦
七.通路與商業合作開展建立","【員工保險】依法提供勞工保險(含勞退)以及全民健保保險

【薪資制度、獎金】依照年度考核制度，績效獎金分紅/配股(員工紅利/認股)
                                    績效獎金:特別獎金、分紅獎金、激勵獎金等級制
                                
【員工照顧】提撥淨利最高20%獎金分紅(以考核依據為計算基礎)
                        年終獎金發放基礎最高標22個月~到低標0.75個月

【請 / 休假制度】依照政府公告例假休，女性員工生理假、週休二日制

【員工活動、福利】供應零食提供及每月二次早餐之約(公司幫你準備早餐)
                                    文藝活動票券(VIP觀賞區)、員工聚餐活動及咖啡茶點等供應

【推薦獎金】1.推薦非主管級人員，被推薦人到職滿6個月，給予推薦人NT$5,000
                         2.推薦主管級人員，被推薦人到職滿6個月，給予推薦人NT$10,000
","月薪28,000~100,000元"
INTECHWORLD INC.,"【薪優福利佳】軟體測試工程師(大數據團隊)-(台北,無需外派)-C","薪水隨著能力給予，有技術有能力，薪水都能詳談。
公司招募人才不手軟!!!
不聊怎麼會有機會呢 沒聊過怎麼知道是不是你要的
或許我們就是你要找的伯樂~
※歡迎加入我們團隊 

職務內容
1. 依據專案需求進行測試架構規劃
2. 撰寫測試計畫、測試案例及測試報告
3. 進行系統、功能、介面與整合測試
4. 適時提出有效的系統功能優化建議

基本條件
1. 具備軟體測試3年以上相關工作經歷
2. 邏輯思考能力強且具解決問題的獨立思考能力
3. 具備良好的溝通與口述和文字表達能力
4. 有耐心且個性細心謹慎，熱愛學習
5. 具備團隊合作的精神、正面且專業的態度及強烈的責任心

加分條件：
1. 熟悉關聯式資料庫存取操作 (Ex. MySQL, Oracle, MS SQL)
2. 使用過整合和軟體版本控制工具 (Jira, Jenkins, Git,etc)
3. 熟悉Linux系統指令操作","菲律賓:
一．待遇 
公司薪酬金額為稅後實發實領 
二．生活保障 
1）公司提供全年免費伙食（公司中央廚房每天提供早/午/晚三餐，逢周三免費發送水果；夜班輪值同事另提供宵夜） 
2）公司提供菲律賓酒店4星級2人標準間宿舍（如不住宿可申請外宿，並獲得一定外宿補貼。） 
3）宿舍提供免費WIFI
4）免費班車接送：上下班/出入境機場往返 
5）提供員工入職抵菲機票 
6）承擔員工來菲後簽證，延簽/入職即辦理工簽 
三．假期與年假 
1）按照菲律賓當地regular holiday放假 
2）年假：一年15天，每年可回國4次；公司提供定額機票補貼（不需實報實銷） 
3）輪班制職位當月所有的假期天數與行政班次相同 
四．醫療 
1）公司提供當地醫療保險卡 
2）公司提供意外事故理賠基金 
五．活動 
1）每月部門聚餐或活動費 
2）節慶晚會（中秋/聖誕/尾牙） 
3）每年國內外旅遊（或旅遊補助金） 
4）各社團協會 
五．津貼/補助 
1）佳節禮金（端午/中秋/聖誕/中國新年） 
2）生日禮金 
3）結婚禮金 
4）生育禮金 
5）住院慰問禮品 
6）出差津貼 
7）加班津貼 
8）夜班津貼 
9）外訓進修補助 
六．培訓發展 
1）新人培訓 
2）內部培訓 
3）外部培訓 
4）每年晉級評核 
＊＊注：工作地點為菲律賓首都馬尼拉市區金融大樓（待遇優厚，食宿全包），無國外工作意願者請慎投！＊＊

台灣台北！！
台北崗位擴大徵才（無需外派）
*保障 13 個月年薪。
*年度營運紅利獎金(視公司營運狀況與個人績效而定)。
*節慶禮金(生日、端午、 中秋)。
*結婚禮金、生育禮金、 喪葬慰問金。
部門活動費
*每人每月下午茶。
*每人每月部門聚餐補助。
其他津貼
*值班津貼(大小夜津貼) 。
團體保險
* 意外險及醫療險。
年假
到職當年即享有 10 天年假。
訓練及升遣
*新人培訓。
*專業國內/海外培訓。
*每年晉級評核。
*完善的升遷管道。
其他
*每月慶生會。
*每年舉辦員工旅遊及活動。
*年終尾牙。


","月薪70,000元以上"
威朋大數據股份有限公司,IT Service Engineer,"
[About You]
我們希望你是一位積極有活力，充滿熱誠的夥伴，能夠充分與跨部門團隊合作，對於MIS有充分的基礎知識與技能。這是一個有跨國運營服務的工作機會，只有您有興趣，也能夠有機會內部研發與數據團隊共同合作。

[About the Job]
1. ERP/人事/SIP電話系統等的管理與維護
2. 辦公室機房規劃與管理 (e.g. 伺服器, Switch, 防火牆, 無線網路)
3. 控管、備份網路伺服器內的檔案，並設定用戶端權限，以確保檔案安全。
4. 監控系統運作，並建立危機處理的標準流程。
5. 分析、解決用戶端通訊問題。
6. 協助公司電腦軟、硬體故障排除。
7. 資訊設備採購
8. 具備獨立作業的能力
","＝＝＝可以拿來說嘴的福利＝＝＝可以拿來說嘴的福利＝＝＝可以拿來說嘴的福利＝＝＝
● 超強的夥伴！你沒看錯！我們負責找到優秀的人才跟你一起組隊，一起拓荒，不輕易滅團。
● 超方便交通，捷運中山國中站正對面，跑步騎車上班也很方便！
● 到職首年即享有16天特假，入職後第四年起20天特休。我們重視家庭與生活，請多陪陪家人，假期多，請安排好代理人。
● 彈性上下班制度，用餐時間不限，每日做好做滿8小時
● 週休二日、5天全薪病假，給假歸給假，身體是自己的，要好好照顧！
● 不定期提供Free啤酒！新鮮水果！啤酒肚不在保固範圍。
● 桌遊隨意玩，咖啡隨意喝!好康的軟性飲料與零食! 三不五時還有外部廠商的美味試吃活動喔！
● 瑜珈球、健身器材！是的，身為小清新的工作職人，請保持健美的身材。
● 安靜舒適的媽咪專屬哺乳室，有專用冰箱。
● 工業風格的辦公環境與員工休息區。坐在窗邊裝裝文青。
● 愛心視障按摩服務，每次30元愛心捐款，小小的愛心集氣成大大的力量，每年捐贈給特定慈善機構。
● 定期舉辦慈善二手義賣活動，珍惜好物彼此交流，還能自訂捐款金額，一起做好事！
● 為愛朗讀，每年揪團擔任育幼院慈善志工，為孩子們說故事，帶活動，把歡樂帶給大家。
更多福利副本拓荒中...需要更強的人才組隊打王...

＝＝＝下面是基本福利款＝＝＝下面是基本福利款＝＝＝下面是基本福利款＝＝＝
● 尾牙聚餐及抽獎（想辦法拱創辦人們加碼是員工應盡的義務）
● 職人講堂活動，與各產業神人交流互動好機會
● 每季員工活動（野餐日、漆彈日等）
● 年度健康檢查
● 中秋端午節禮金
● 生日電影票兩張","月薪50,000~65,000元"
INTECHWORLD INC.,【薪優福利佳】大數據分析師(Big Data Analyst)-台北無須外派-C,"薪水隨著能力給予，有技術有能力，薪水都能詳談。
公司招募人才不手軟!!!
不聊怎麼會有機會呢 沒聊過怎麼知道是不是你要的
或許我們就是你要找的伯樂~
※歡迎加入我們團隊 

職務內容

(1) 根據客戶需求進行方案調研及數據建模，並產出提案報告。
(2) 數據可視化的方法設計，讓客戶能夠更輕易的理解數據所帶來的含意，並能解釋您的設計理念，應用場景與使用方法。
(3) 協助部門內的工程師理解統計公式並完成交辦的統計型計算任務。
(4) 統籌並執行統計量相關的測試工作，確保在不同場景下都能產生出正確的結果。
(5) 根據不同的統計場景，製造開發計畫中需要的測試數據。
(6) 為ETL程式等相關統計開發撰寫開發測試計畫，並與其他測試人員合作生成質量測試報告。
其他條件
基本條件：
(1) 紮實的統計知識
(2 )具python，R或其他程式語言的經驗
(3) 具有關聯式資料庫查詢語句的經驗，如MSSQL，MySQL，HQL
(4) 具有數據可視化相關套件的經驗，例如Matplotlib, Scipy
(5) 學習新知識的熱忱，自驅動能力強，且善於獨立思考解決方案
(6) 擁有團隊意識，願意與團隊成員一同學習成長

加分條件：
(1) 具Hadoop 生態系統的使用經驗，如HBase，Hive
(2) 2年以上與數據分析相關的工作經驗","菲律賓:
一．待遇 
公司薪酬金額為稅後實發實領 
二．生活保障 
1）公司提供全年免費伙食（公司中央廚房每天提供早/午/晚三餐，逢周三免費發送水果；夜班輪值同事另提供宵夜） 
2）公司提供菲律賓酒店4星級2人標準間宿舍（如不住宿可申請外宿，並獲得一定外宿補貼。） 
3）宿舍提供免費WIFI
4）免費班車接送：上下班/出入境機場往返 
5）提供員工入職抵菲機票 
6）承擔員工來菲後簽證，延簽/入職即辦理工簽 
三．假期與年假 
1）按照菲律賓當地regular holiday放假 
2）年假：一年15天，每年可回國4次；公司提供定額機票補貼（不需實報實銷） 
3）輪班制職位當月所有的假期天數與行政班次相同 
四．醫療 
1）公司提供當地醫療保險卡 
2）公司提供意外事故理賠基金 
五．活動 
1）每月部門聚餐或活動費 
2）節慶晚會（中秋/聖誕/尾牙） 
3）每年國內外旅遊（或旅遊補助金） 
4）各社團協會 
五．津貼/補助 
1）佳節禮金（端午/中秋/聖誕/中國新年） 
2）生日禮金 
3）結婚禮金 
4）生育禮金 
5）住院慰問禮品 
6）出差津貼 
7）加班津貼 
8）夜班津貼 
9）外訓進修補助 
六．培訓發展 
1）新人培訓 
2）內部培訓 
3）外部培訓 
4）每年晉級評核 
＊＊注：工作地點為菲律賓首都馬尼拉市區金融大樓（待遇優厚，食宿全包），無國外工作意願者請慎投！＊＊

台灣台北！！
台北崗位擴大徵才（無需外派）
*保障 13 個月年薪。
*年度營運紅利獎金(視公司營運狀況與個人績效而定)。
*節慶禮金(生日、端午、 中秋)。
*結婚禮金、生育禮金、 喪葬慰問金。
部門活動費
*每人每月下午茶。
*每人每月部門聚餐補助。
其他津貼
*值班津貼(大小夜津貼) 。
團體保險
* 意外險及醫療險。
年假
到職當年即享有 10 天年假。
訓練及升遣
*新人培訓。
*專業國內/海外培訓。
*每年晉級評核。
*完善的升遷管道。
其他
*每月慶生會。
*每年舉辦員工旅遊及活動。
*年終尾牙。


","月薪100,000元以上"
INTECHWORLD INC.,"【薪優福利佳】Golang開發工程師(大數據團隊)-(台北,無需外派)-C","薪水隨著能力給予，有技術有能力，薪水都能詳談。
公司招募人才不手軟!!!
不聊怎麼會有機會呢 沒聊過怎麼知道是不是你要的
或許我們就是你要找的伯樂~
※歡迎加入我們團隊 

職務內容
1.使用Golang開發API並提供數據給需求單位。
2.優化不同資料庫的查詢語句，包含但不限MySQL/Hive/ElasticSearch/Neo4j...等等。
3.學習新的數據庫與相應查詢語句，並應用在實際業務場景。
4.利用分佈式概念，使用Golang爬蟲抓取數據。
基本要求:
1.資訊或相關領域學士以上畢業(電機,資工,數學,物理...等等)
2.Golang開發經驗或一年以上API/C++開發工作經驗
3.資料庫查詢語句優化經驗，比如SQL...等等。
4.對新技術學習充滿熱情並樂於分享。

加分條件：
1.其他資料庫查詢語句優化經驗,比如ElasticSearch DSL, Neo4j CQL...等等。
2.Hadoop生態系的使用經驗，如Hive,Hbase,Redis...等等。
3.瞭解分佈式架構與中間件，如Kafka,Docker,k8s...等等。
4.熟悉常用的Go後台開發框架與組件，如Gin,beego,gorm...等等。
5.熟悉TCP/IP、HTTP協議以及Socket網路編程，瞭解Linux操作系統。
6.具有Golang的分佈式爬蟲經驗尤佳。
7.機器學習演算法的知識。","菲律賓:
一．待遇 
公司薪酬金額為稅後實發實領 
二．生活保障 
1）公司提供全年免費伙食（公司中央廚房每天提供早/午/晚三餐，逢周三免費發送水果；夜班輪值同事另提供宵夜） 
2）公司提供菲律賓酒店4星級2人標準間宿舍（如不住宿可申請外宿，並獲得一定外宿補貼。） 
3）宿舍提供免費WIFI
4）免費班車接送：上下班/出入境機場往返 
5）提供員工入職抵菲機票 
6）承擔員工來菲後簽證，延簽/入職即辦理工簽 
三．假期與年假 
1）按照菲律賓當地regular holiday放假 
2）年假：一年15天，每年可回國4次；公司提供定額機票補貼（不需實報實銷） 
3）輪班制職位當月所有的假期天數與行政班次相同 
四．醫療 
1）公司提供當地醫療保險卡 
2）公司提供意外事故理賠基金 
五．活動 
1）每月部門聚餐或活動費 
2）節慶晚會（中秋/聖誕/尾牙） 
3）每年國內外旅遊（或旅遊補助金） 
4）各社團協會 
五．津貼/補助 
1）佳節禮金（端午/中秋/聖誕/中國新年） 
2）生日禮金 
3）結婚禮金 
4）生育禮金 
5）住院慰問禮品 
6）出差津貼 
7）加班津貼 
8）夜班津貼 
9）外訓進修補助 
六．培訓發展 
1）新人培訓 
2）內部培訓 
3）外部培訓 
4）每年晉級評核 
＊＊注：工作地點為菲律賓首都馬尼拉市區金融大樓（待遇優厚，食宿全包），無國外工作意願者請慎投！＊＊

台灣台北！！
台北崗位擴大徵才（無需外派）
*保障 13 個月年薪。
*年度營運紅利獎金(視公司營運狀況與個人績效而定)。
*節慶禮金(生日、端午、 中秋)。
*結婚禮金、生育禮金、 喪葬慰問金。
部門活動費
*每人每月下午茶。
*每人每月部門聚餐補助。
其他津貼
*值班津貼(大小夜津貼) 。
團體保險
* 意外險及醫療險。
年假
到職當年即享有 10 天年假。
訓練及升遣
*新人培訓。
*專業國內/海外培訓。
*每年晉級評核。
*完善的升遷管道。
其他
*每月慶生會。
*每年舉辦員工旅遊及活動。
*年終尾牙。


",待遇面議
INTECHWORLD INC.,"【薪優福利佳】系統分析師SA(大數據團隊)-(台北,無需外派)-C","薪水隨著能力給予，有技術有能力，薪水都能詳談。
公司招募人才不手軟!!!
不聊怎麼會有機會呢 沒聊過怎麼知道是不是你要的
或許我們就是你要找的伯樂~
※歡迎加入我們團隊 

職務內容
1. 與需求分析師協作，將需求收斂進行功能拆解，並產出系統規格文件
2. 召開系統規格評審會議
3. 系統規格文檔版本控制統一管理
4. 與開發人員溝通系統規格
5. 解答系統功能與流程相關疑問
面試請準備 10-15分鐘簡報，內容包括過去專案介紹與製作文檔。

以下為額外加分項：
1.有其他語言開發經驗，如Java、GO、Python、NodeJS等。","菲律賓:
一．待遇 
公司薪酬金額為稅後實發實領 
二．生活保障 
1）公司提供全年免費伙食（公司中央廚房每天提供早/午/晚三餐，逢周三免費發送水果；夜班輪值同事另提供宵夜） 
2）公司提供菲律賓酒店4星級2人標準間宿舍（如不住宿可申請外宿，並獲得一定外宿補貼。） 
3）宿舍提供免費WIFI
4）免費班車接送：上下班/出入境機場往返 
5）提供員工入職抵菲機票 
6）承擔員工來菲後簽證，延簽/入職即辦理工簽 
三．假期與年假 
1）按照菲律賓當地regular holiday放假 
2）年假：一年15天，每年可回國4次；公司提供定額機票補貼（不需實報實銷） 
3）輪班制職位當月所有的假期天數與行政班次相同 
四．醫療 
1）公司提供當地醫療保險卡 
2）公司提供意外事故理賠基金 
五．活動 
1）每月部門聚餐或活動費 
2）節慶晚會（中秋/聖誕/尾牙） 
3）每年國內外旅遊（或旅遊補助金） 
4）各社團協會 
五．津貼/補助 
1）佳節禮金（端午/中秋/聖誕/中國新年） 
2）生日禮金 
3）結婚禮金 
4）生育禮金 
5）住院慰問禮品 
6）出差津貼 
7）加班津貼 
8）夜班津貼 
9）外訓進修補助 
六．培訓發展 
1）新人培訓 
2）內部培訓 
3）外部培訓 
4）每年晉級評核 
＊＊注：工作地點為菲律賓首都馬尼拉市區金融大樓（待遇優厚，食宿全包），無國外工作意願者請慎投！＊＊

台灣台北！！
台北崗位擴大徵才（無需外派）
*保障 13 個月年薪。
*年度營運紅利獎金(視公司營運狀況與個人績效而定)。
*節慶禮金(生日、端午、 中秋)。
*結婚禮金、生育禮金、 喪葬慰問金。
部門活動費
*每人每月下午茶。
*每人每月部門聚餐補助。
其他津貼
*值班津貼(大小夜津貼) 。
團體保險
* 意外險及醫療險。
年假
到職當年即享有 10 天年假。
訓練及升遣
*新人培訓。
*專業國內/海外培訓。
*每年晉級評核。
*完善的升遷管道。
其他
*每月慶生會。
*每年舉辦員工旅遊及活動。
*年終尾牙。


","月薪60,000元以上"
華碩電腦股份有限公司,AD30084 數據分析運用工程師,"1. 具有網路基礎架構與網路服務常識
2. 具有 Window、Linux基本管理能力
3. 具有大數據平台建置、管理與分析能力
4. 具有基本問題排查與協助原廠進行問題分析能力
5. 監控服務運作數據並持續改善SLA
6. 管控數據分析雲端成本
7. 機器學習應用","1.勞保、健保、團保
2.華碩員購網
3.三節獎金、績效獎金、專利獎金、模範員工獎金
4.文康券、員工暨子女獎助學金、生日禮券、婚喪喜慶禮金補助、餐飲補助
5.不定期文康活動、華碩家庭日
6.年度員工健康檢查、哺乳室、員工醫務室、醫生駐診
7.五星級休閒中心( 綜合球場、健身房、游泳池、SPA 、三溫暖烤箱、瑜珈韻律教室等各項休閒措施)、美食街飲食","月薪28,000元以上"
聯強國際股份有限公司,資料分析工程師(全球第二大IT通路集團),"(2020菁英計劃)於集團總部負責亞太(台灣、大陸、香港、澳洲、紐西蘭…)營運系統之研發與管理， 運用營運大數據，打造聯強數位神經系統，提升營運智能。

對大數據資料處理及分析有興趣者
1.營運決策支援系統設計、開發。
2.資料統計分析、數據分析可視化操作。
3.具程式開發基礎。","【聯強的人才培育理念】

更多聯強營運及人才發展過程請關注下方連結：
https://youtu.be/Z6vS3cpeiLE

聯強經營策略 = (人才) × (系統制度) × (營運知識)

聯強國際長期積累通路經營、產品經營、運籌經營及相關支持功能之「營運知識」。並且建立高效之「營運制度」及「電腦運管系統」。

我們招募「潛力人才」，授與「營運知識」的培訓，提供「營運制度」及「電腦運管系統」工具，使其短期内即能俱備專業職能及展現專業績效。

「潛力人才」在這有系統的培訓下成為「人才」。「人才」開創提升「營運知識」、提升「制度系統」，來提升公司能耐、提升競爭力。

歡迎潛力人才的加入，我們隨時都有職缺。
　
【薪資】
年度總收入公平公正的反映個人的貢獻度，以凝聚公司同仁的向心力，激發每位同仁投入工作的動力，因而創造出更好的營運績效。同仁的年度總收入更好下，也會不斷形成善性循環。 
　
【福利】
除了扎實的培訓機制與暢通的升遷管道外，聯強非常重視提供員工充份保障且安心的工作環境，讓同仁在工作之餘，健康有保障、經濟沒煩惱、家庭照顧無後顧之憂，簡述有四大類福利：
　
1.安心與安全保障
　(1)	未滿一年新進同仁，優於勞基法額外賦予休假(依年度任職比例)。
　(2)	為所有正職員工投保至少三百萬元的定期壽險，強化員工的家庭基本保障。
　(3)	任職滿一年可申請購屋、房屋修繕、結婚、生育、購車、急難救助無息貸款。
　(4)	結婚、喪葬、住院、生育、生日等禮金/禮券。
　(5)	足額繳納勞工保險、勞工退休金提撥、全民健康保險等法定保障。
　
2.女性友善職場環境
　(1)	公司選用與晉升人才不受性別影響，所有主管職中女性人數超過四成。
　(2)	設有舒適且隱私不受打擾的哺集乳室，產後哺乳無壓力。
　(3)	友善提供彈性的育嬰留停環境，五成的女性同仁產後申請育嬰假，降低女性同仁工作與家庭照顧間的衝突，使女性同仁不因短期因素中斷職涯！
　
3.團隊建設活動
　(1)	部門旅遊與部門活動舉辦
　(2)	不定期部門餐敘
　(3)	優質新春聯歡晚會
　(4)	聯強運動會
　(5)	電影欣賞活動
　(6)	資深同仁獎勵：任職滿五、十、十五、二十年同仁，可享特別獎勵獎金。
　(7)	自助福利社：提供免費咖啡及自助福利社服務。
　
4.健康促進環境
　(1)	設置專職護理師，提供健康諮詢、舉辦健康講座與健康促進競賽，提倡同仁注重自己與家人的健康。
　(2)	定期免費健康檢查，並由護理師提供異常追蹤之必要協助。
　(3)	辦公用電腦全面採用低藍光螢幕，並持續提升辦公環境的舒適與健康。
　(4)	不定期提供專業肩頸舒壓按摩服務，改善久坐辦公的僵硬，促進血液循環。","月薪30,000~70,000元"
美而快實業股份有限公司,資深研發工程師,"全新架構電商系統開發，打造華人最大流行服飾平台！
- 使用.NET MVC 5，沒有舊時代的包袱。
- 全新開發設備+雙螢幕+高速網路，不封網，寬廣舒適工作環境。
- 前後端分離，可完全獨立作業，不受前端程式語言影響。
- 技術、工具選擇彈性高，創意揮灑空間大。
- 落實CI / CD，開發有保障
- 使用 Azure 雲端服務
- 大數據分析、機器學習應用","┌獎金福利：三節禮品/獎金、年終獎金、生日禮金
├保險制度：勞保、健保、提撥勞工退休金
├補助福利：員工教育訓練、婚喪喜慶之津貼
└好感福利：每月一日下午茶、員工購物優惠、不定期舉辦聚餐或旅遊 ‧‧‧",待遇面議
聯強國際股份有限公司,資料分析師(全球第二大IT通路集團),"(2020菁英計劃)於集團總部負責亞太(台灣、大陸、香港、澳洲、紐西蘭…)營運系統之研發與管理， 運用營運大數據，打造聯強數位神經系統，提升營運智能。

對大數據資料處理及分析或人工智慧有高度興趣者
資料統計分析、特徵工程。
數據分析可視化操作。
演算法評估，建立預測模型。","【聯強的人才培育理念】

更多聯強營運及人才發展過程請關注下方連結：
https://youtu.be/Z6vS3cpeiLE

聯強經營策略 = (人才) × (系統制度) × (營運知識)

聯強國際長期積累通路經營、產品經營、運籌經營及相關支持功能之「營運知識」。並且建立高效之「營運制度」及「電腦運管系統」。

我們招募「潛力人才」，授與「營運知識」的培訓，提供「營運制度」及「電腦運管系統」工具，使其短期内即能俱備專業職能及展現專業績效。

「潛力人才」在這有系統的培訓下成為「人才」。「人才」開創提升「營運知識」、提升「制度系統」，來提升公司能耐、提升競爭力。

歡迎潛力人才的加入，我們隨時都有職缺。
　
【薪資】
年度總收入公平公正的反映個人的貢獻度，以凝聚公司同仁的向心力，激發每位同仁投入工作的動力，因而創造出更好的營運績效。同仁的年度總收入更好下，也會不斷形成善性循環。 
　
【福利】
除了扎實的培訓機制與暢通的升遷管道外，聯強非常重視提供員工充份保障且安心的工作環境，讓同仁在工作之餘，健康有保障、經濟沒煩惱、家庭照顧無後顧之憂，簡述有四大類福利：
　
1.安心與安全保障
　(1)	未滿一年新進同仁，優於勞基法額外賦予休假(依年度任職比例)。
　(2)	為所有正職員工投保至少三百萬元的定期壽險，強化員工的家庭基本保障。
　(3)	任職滿一年可申請購屋、房屋修繕、結婚、生育、購車、急難救助無息貸款。
　(4)	結婚、喪葬、住院、生育、生日等禮金/禮券。
　(5)	足額繳納勞工保險、勞工退休金提撥、全民健康保險等法定保障。
　
2.女性友善職場環境
　(1)	公司選用與晉升人才不受性別影響，所有主管職中女性人數超過四成。
　(2)	設有舒適且隱私不受打擾的哺集乳室，產後哺乳無壓力。
　(3)	友善提供彈性的育嬰留停環境，五成的女性同仁產後申請育嬰假，降低女性同仁工作與家庭照顧間的衝突，使女性同仁不因短期因素中斷職涯！
　
3.團隊建設活動
　(1)	部門旅遊與部門活動舉辦
　(2)	不定期部門餐敘
　(3)	優質新春聯歡晚會
　(4)	聯強運動會
　(5)	電影欣賞活動
　(6)	資深同仁獎勵：任職滿五、十、十五、二十年同仁，可享特別獎勵獎金。
　(7)	自助福利社：提供免費咖啡及自助福利社服務。
　
4.健康促進環境
　(1)	設置專職護理師，提供健康諮詢、舉辦健康講座與健康促進競賽，提倡同仁注重自己與家人的健康。
　(2)	定期免費健康檢查，並由護理師提供異常追蹤之必要協助。
　(3)	辦公用電腦全面採用低藍光螢幕，並持續提升辦公環境的舒適與健康。
　(4)	不定期提供專業肩頸舒壓按摩服務，改善久坐辦公的僵硬，促進血液循環。","月薪30,000~70,000元"
台灣大哥大股份有限公司,I177 資料分析資深工程師,"1. 負責新創服務分析功能開發與維護，如:行動廣告/影音/音樂等產品
2. 負責大數據平台程式開發與應用功能維護，如:Hadoop、Elasticsearch Server
【薪資待遇】：月薪31,000元-53,000元，依績效另有豐厚年終獎金與員工紅利。","**台灣大哥大列入「公司治理評鑑前5%之績優公司」**
**台灣大哥大榮獲104人力銀行新鮮人「魅力雇主」電信服務業榜首**

員工是台灣大哥大最寶貴的資產，我們落實以績效為依歸的薪酬獎勵措施(pay for performance)，提供極具市場競爭力的薪資、年終獎金等激勵性獎酬，並提供完善的福利、性別平等的工作機會和教育訓練制度，同時也鼓勵員工自我實現，滿足自我成長。

【薪資與福利】
薪資制度： 
1.	以績效為依歸的薪酬獎勵措施，依據績效表現發放年終獎金等激勵性獎酬
2.	每年參與薪資調查，瞭解業界情形，讓薪資具有市場競爭力

福利措施：公司妥善規劃及提供員工各項福利措施
1.	除依法應提供之勞健保、勞退外，另有員工及眷屬團體保險(公司全額補助)
2.	優於法令規定之病假、產假、喪假等
3.	婚喪喜慶補助：生日禮金、結婚禮金、生育禮金、喪殯慰問
4.	傷病急難救助：住院慰問、急難救助
5.	三節禮券、托兒補助
6.	自選式福利方案：電子禮券、國內/外旅遊、員工進修、子女教育、團險自費加保等補助
7.	社團活動、家庭日及年終尾牙晚會
8.	集團員工自費保險計劃(壽險及產險)及房屋/信用貸款等優惠措施
9.	員工持股信託方案，由員工及公司定額相對提撥購買公司股票
10.	員工每月定額通話費補助、員購優惠方案
11.	定期員工健康檢查、員眷健檢優惠方案
12.	特約商店、渡假飯店、運動中心、遊樂園、旅行社等簽約優惠
13.	免費紓壓肩頸按摩服務
14.	資深員工獎勵

【學習與發展】 
我們有完善的教育訓練及升遷制度，包括：
1.	新進同仁教育訓練  
2.	個人職能訓練、管理職能訓練、電腦/電信專業技能訓練
3.	國內外進修機會(獎助學金補助) 
4.	每年定額員工個人進修補助

我們實施： 
1.	人性化出勤管理
2.	優於勞基法之休假制度，包括每年六日不扣薪普通傷病假

您心動了嗎！歡迎您加入我們！ 
請詳見 https://hrweb.taiwanmobile.com/TWMHRMS/Forms/JobQry.aspx","月薪31,000~53,000元"
薩摩亞商長穩智能管理有限公司,人工智慧研發工程師,"主要參與畜牧農業之大數據與人工智慧應用之研發, 
-	研發畜牧智能化應用.
-	農場RFID、環控及生產繁殖大數據應用研發．
-	農場影像識別及智能平台發展與應用．
","◆ 獎金 / 禮品類
　1.年終獎金
　2.三節禮金/禮品
◆ 制度類
　1.績效獎金
◆ 請 / 休假制度
　1.週休二日
　2.特休/年假
　3.家庭照顧假
　4.女性同仁生理假
◆ 其他
　1.慶生會
      2.員工健康檢查
",待遇面議
