"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"DNK","UNEMP","TOT","PC_LF","Q","2019-Q2",4.865647,
"FIN","UNEMP","TOT","PC_LF","Q","2017-Q4",8.332112,
"FIN","UNEMP","TOT","PC_LF","Q","2018-Q1",8.263926,
"FIN","UNEMP","TOT","PC_LF","Q","2018-Q2",7.215449,
"FIN","UNEMP","TOT","PC_LF","Q","2018-Q3",7.391469,
"FIN","UNEMP","TOT","PC_LF","Q","2018-Q4",6.571544,
"FIN","UNEMP","TOT","PC_LF","Q","2019-Q1",6.648847,
"FIN","UNEMP","TOT","PC_LF","Q","2019-Q2",6.7512,
"FRA","UNEMP","TOT","PC_LF","Q","2017-Q4",8.979056,
"FRA","UNEMP","TOT","PC_LF","Q","2018-Q1",9.214472,
"FRA","UNEMP","TOT","PC_LF","Q","2018-Q2",9.09757,
"FRA","UNEMP","TOT","PC_LF","Q","2018-Q3",9.106791,
"FRA","UNEMP","TOT","PC_LF","Q","2018-Q4",8.817424,
"FRA","UNEMP","TOT","PC_LF","Q","2019-Q1",8.682917,
"FRA","UNEMP","TOT","PC_LF","Q","2019-Q2",8.460202,
"FRA","UNEMP","TOT","PC_LF","Q","2019-Q3",8.548062,
"DEU","UNEMP","TOT","PC_LF","Q","2017-Q4",3.610602,
"DEU","UNEMP","TOT","PC_LF","Q","2018-Q1",3.461091,
"DEU","UNEMP","TOT","PC_LF","Q","2018-Q2",3.450744,
"DEU","UNEMP","TOT","PC_LF","Q","2018-Q3",3.354191,
"DEU","UNEMP","TOT","PC_LF","Q","2018-Q4",3.268238,
"DEU","UNEMP","TOT","PC_LF","Q","2019-Q1",3.178717,
"DEU","UNEMP","TOT","PC_LF","Q","2019-Q2",3.070116,
"GRC","UNEMP","TOT","PC_LF","Q","2017-Q4",20.79664,
"GRC","UNEMP","TOT","PC_LF","Q","2018-Q1",20.10765,
"GRC","UNEMP","TOT","PC_LF","Q","2018-Q2",19.57128,
"GRC","UNEMP","TOT","PC_LF","Q","2018-Q3",19.09021,
"GRC","UNEMP","TOT","PC_LF","Q","2018-Q4",18.39574,
"GRC","UNEMP","TOT","PC_LF","Q","2019-Q1",18.16545,
"GRC","UNEMP","TOT","PC_LF","Q","2019-Q2",17.38341,
"HUN","UNEMP","TOT","PC_LF","Q","2017-Q4",3.885393,
"HUN","UNEMP","TOT","PC_LF","Q","2018-Q1",3.715664,
"HUN","UNEMP","TOT","PC_LF","Q","2018-Q2",3.639997,
"HUN","UNEMP","TOT","PC_LF","Q","2018-Q3",3.801455,
"HUN","UNEMP","TOT","PC_LF","Q","2018-Q4",3.676205,
"HUN","UNEMP","TOT","PC_LF","Q","2019-Q1",3.429382,
"HUN","UNEMP","TOT","PC_LF","Q","2019-Q2",3.410708,
"ISL","UNEMP","TOT","PC_LF","Q","2017-Q4",2.809479,
"ISL","UNEMP","TOT","PC_LF","Q","2018-Q1",2.917374,
"ISL","UNEMP","TOT","PC_LF","Q","2018-Q2",2.727946,
"ISL","UNEMP","TOT","PC_LF","Q","2018-Q3",2.470784,
"ISL","UNEMP","TOT","PC_LF","Q","2018-Q4",2.678005,
"ISL","UNEMP","TOT","PC_LF","Q","2019-Q1",2.781299,
"ISL","UNEMP","TOT","PC_LF","Q","2019-Q2",3.434859,
"IRL","UNEMP","TOT","PC_LF","Q","2017-Q4",6.245686,
"IRL","UNEMP","TOT","PC_LF","Q","2018-Q1",6.051559,
"IRL","UNEMP","TOT","PC_LF","Q","2018-Q2",5.800561,
"IRL","UNEMP","TOT","PC_LF","Q","2018-Q3",5.61937,
"IRL","UNEMP","TOT","PC_LF","Q","2018-Q4",5.49272,
"IRL","UNEMP","TOT","PC_LF","Q","2019-Q1",5.023324,
"IRL","UNEMP","TOT","PC_LF","Q","2019-Q2",5.173915,
"ITA","UNEMP","TOT","PC_LF","Q","2017-Q4",10.82074,
"ITA","UNEMP","TOT","PC_LF","Q","2018-Q1",10.86693,
"ITA","UNEMP","TOT","PC_LF","Q","2018-Q2",10.86486,
"ITA","UNEMP","TOT","PC_LF","Q","2018-Q3",10.25657,
"ITA","UNEMP","TOT","PC_LF","Q","2018-Q4",10.44867,
"ITA","UNEMP","TOT","PC_LF","Q","2019-Q1",10.33581,
"ITA","UNEMP","TOT","PC_LF","Q","2019-Q2",9.938057,
"JPN","UNEMP","TOT","PC_LF","Q","2017-Q4",2.7,
"JPN","UNEMP","TOT","PC_LF","Q","2018-Q1",2.466667,
"JPN","UNEMP","TOT","PC_LF","Q","2018-Q2",2.433333,
"JPN","UNEMP","TOT","PC_LF","Q","2018-Q3",2.433333,
"JPN","UNEMP","TOT","PC_LF","Q","2018-Q4",2.433333,
"JPN","UNEMP","TOT","PC_LF","Q","2019-Q1",2.433333,
"JPN","UNEMP","TOT","PC_LF","Q","2019-Q2",2.366667,
"JPN","UNEMP","TOT","PC_LF","Q","2019-Q3",2.266667,
"KOR","UNEMP","TOT","PC_LF","Q","2017-Q4",3.666667,
"KOR","UNEMP","TOT","PC_LF","Q","2018-Q1",3.733333,
"KOR","UNEMP","TOT","PC_LF","Q","2018-Q2",3.833333,
"KOR","UNEMP","TOT","PC_LF","Q","2018-Q3",3.966667,
"KOR","UNEMP","TOT","PC_LF","Q","2018-Q4",3.833333,
"KOR","UNEMP","TOT","PC_LF","Q","2019-Q1",3.966667,
"KOR","UNEMP","TOT","PC_LF","Q","2019-Q2",4.033333,
"KOR","UNEMP","TOT","PC_LF","Q","2019-Q3",3.5,
"LUX","UNEMP","TOT","PC_LF","Q","2017-Q4",5.187208,
"LUX","UNEMP","TOT","PC_LF","Q","2018-Q1",5.55435,
"LUX","UNEMP","TOT","PC_LF","Q","2018-Q2",5.482928,
"LUX","UNEMP","TOT","PC_LF","Q","2018-Q3",6.032629,
"LUX","UNEMP","TOT","PC_LF","Q","2018-Q4",5.262393,
"LUX","UNEMP","TOT","PC_LF","Q","2019-Q1",5.416922,
"LUX","UNEMP","TOT","PC_LF","Q","2019-Q2",5.314292,
"MEX","UNEMP","TOT","PC_LF","Q","2017-Q4",3.427282,
"MEX","UNEMP","TOT","PC_LF","Q","2018-Q1",3.246456,
"MEX","UNEMP","TOT","PC_LF","Q","2018-Q2",3.317015,
"MEX","UNEMP","TOT","PC_LF","Q","2018-Q3",3.290492,
"MEX","UNEMP","TOT","PC_LF","Q","2018-Q4",3.348319,
"MEX","UNEMP","TOT","PC_LF","Q","2019-Q1",3.499771,
"MEX","UNEMP","TOT","PC_LF","Q","2019-Q2",3.512789,
"MEX","UNEMP","TOT","PC_LF","Q","2019-Q3",3.551229,
"NLD","UNEMP","TOT","PC_LF","Q","2017-Q4",4.406731,
"NLD","UNEMP","TOT","PC_LF","Q","2018-Q1",4.122416,
"NLD","UNEMP","TOT","PC_LF","Q","2018-Q2",3.902471,
"NLD","UNEMP","TOT","PC_LF","Q","2018-Q3",3.727788,
"NLD","UNEMP","TOT","PC_LF","Q","2018-Q4",3.572889,
"NLD","UNEMP","TOT","PC_LF","Q","2019-Q1",3.466767,
"NLD","UNEMP","TOT","PC_LF","Q","2019-Q2",3.315988,
"NZL","UNEMP","TOT","PC_LF","Q","2017-Q4",4.5,
"NZL","UNEMP","TOT","PC_LF","Q","2018-Q1",4.3,
"NZL","UNEMP","TOT","PC_LF","Q","2018-Q2",4.5,
"NZL","UNEMP","TOT","PC_LF","Q","2018-Q3",4,
"NZL","UNEMP","TOT","PC_LF","Q","2018-Q4",4.3,
"NZL","UNEMP","TOT","PC_LF","Q","2019-Q1",4.2,
"NZL","UNEMP","TOT","PC_LF","Q","2019-Q2",3.9,
"NZL","UNEMP","TOT","PC_LF","Q","2019-Q3",4.2,
"NOR","UNEMP","TOT","PC_LF","Q","2017-Q4",3.88547,
"NOR","UNEMP","TOT","PC_LF","Q","2018-Q1",3.788966,
"NOR","UNEMP","TOT","PC_LF","Q","2018-Q2",3.846343,
"NOR","UNEMP","TOT","PC_LF","Q","2018-Q3",3.930051,
"NOR","UNEMP","TOT","PC_LF","Q","2018-Q4",3.635736,
"NOR","UNEMP","TOT","PC_LF","Q","2019-Q1",3.659406,
"NOR","UNEMP","TOT","PC_LF","Q","2019-Q2",3.472071,
"NOR","UNEMP","TOT","PC_LF","Q","2019-Q3",3.719054,
"POL","UNEMP","TOT","PC_LF","Q","2017-Q4",4.433535,
"POL","UNEMP","TOT","PC_LF","Q","2018-Q1",4.084571,
"POL","UNEMP","TOT","PC_LF","Q","2018-Q2",3.843129,
"POL","UNEMP","TOT","PC_LF","Q","2018-Q3",3.826249,
"POL","UNEMP","TOT","PC_LF","Q","2018-Q4",3.625855,
"POL","UNEMP","TOT","PC_LF","Q","2019-Q1",3.739147,
"POL","UNEMP","TOT","PC_LF","Q","2019-Q2",3.475157,
"PRT","UNEMP","TOT","PC_LF","Q","2017-Q4",8.007345,
"PRT","UNEMP","TOT","PC_LF","Q","2018-Q1",7.535939,
"PRT","UNEMP","TOT","PC_LF","Q","2018-Q2",6.975888,
"PRT","UNEMP","TOT","PC_LF","Q","2018-Q3",6.840771,
"PRT","UNEMP","TOT","PC_LF","Q","2018-Q4",6.620211,
"PRT","UNEMP","TOT","PC_LF","Q","2019-Q1",6.476641,
"PRT","UNEMP","TOT","PC_LF","Q","2019-Q2",6.489124,
"PRT","UNEMP","TOT","PC_LF","Q","2019-Q3",6.250012,
"SVK","UNEMP","TOT","PC_LF","Q","2017-Q4",7.602857,
"SVK","UNEMP","TOT","PC_LF","Q","2018-Q1",7.097785,
"SVK","UNEMP","TOT","PC_LF","Q","2018-Q2",6.704004,
"SVK","UNEMP","TOT","PC_LF","Q","2018-Q3",6.311964,
"SVK","UNEMP","TOT","PC_LF","Q","2018-Q4",6.037065,
"SVK","UNEMP","TOT","PC_LF","Q","2019-Q1",5.792695,
"SVK","UNEMP","TOT","PC_LF","Q","2019-Q2",5.678141,
"ESP","UNEMP","TOT","PC_LF","Q","2017-Q4",16.52131,
"ESP","UNEMP","TOT","PC_LF","Q","2018-Q1",16.08702,
"ESP","UNEMP","TOT","PC_LF","Q","2018-Q2",15.43198,
"ESP","UNEMP","TOT","PC_LF","Q","2018-Q3",14.96371,
"ESP","UNEMP","TOT","PC_LF","Q","2018-Q4",14.5418,
"ESP","UNEMP","TOT","PC_LF","Q","2019-Q1",14.23596,
"ESP","UNEMP","TOT","PC_LF","Q","2019-Q2",14.09538,
"ESP","UNEMP","TOT","PC_LF","Q","2019-Q3",14.1678,
"SWE","UNEMP","TOT","PC_LF","Q","2017-Q4",6.609087,
"SWE","UNEMP","TOT","PC_LF","Q","2018-Q1",6.339897,
"SWE","UNEMP","TOT","PC_LF","Q","2018-Q2",6.374687,
"SWE","UNEMP","TOT","PC_LF","Q","2018-Q3",6.39307,
"SWE","UNEMP","TOT","PC_LF","Q","2018-Q4",6.277848,
"SWE","UNEMP","TOT","PC_LF","Q","2019-Q1",6.453392,
"SWE","UNEMP","TOT","PC_LF","Q","2019-Q2",6.464712,
"CHE","UNEMP","TOT","PC_LF","Q","2017-Q4",4.674401,
"CHE","UNEMP","TOT","PC_LF","Q","2018-Q1",4.948959,
"CHE","UNEMP","TOT","PC_LF","Q","2018-Q2",4.795905,
"CHE","UNEMP","TOT","PC_LF","Q","2018-Q3",4.388571,
"CHE","UNEMP","TOT","PC_LF","Q","2018-Q4",4.71931,
"CHE","UNEMP","TOT","PC_LF","Q","2019-Q1",4.685133,
"CHE","UNEMP","TOT","PC_LF","Q","2019-Q2",4.338442,
"TUR","UNEMP","TOT","PC_LF","Q","2017-Q4",10.15523,
"TUR","UNEMP","TOT","PC_LF","Q","2018-Q1",9.68301,
"TUR","UNEMP","TOT","PC_LF","Q","2018-Q2",10.50477,
"TUR","UNEMP","TOT","PC_LF","Q","2018-Q3",11.21462,
"TUR","UNEMP","TOT","PC_LF","Q","2018-Q4",12.14004,
"TUR","UNEMP","TOT","PC_LF","Q","2019-Q1",13.40065,
"TUR","UNEMP","TOT","PC_LF","Q","2019-Q2",13.84195,
"GBR","UNEMP","TOT","PC_LF","Q","2017-Q4",4.227265,
"GBR","UNEMP","TOT","PC_LF","Q","2018-Q1",4.143124,
"GBR","UNEMP","TOT","PC_LF","Q","2018-Q2",3.955301,
"GBR","UNEMP","TOT","PC_LF","Q","2018-Q3",4.012631,
"GBR","UNEMP","TOT","PC_LF","Q","2018-Q4",3.873369,
"GBR","UNEMP","TOT","PC_LF","Q","2019-Q1",3.728681,
"GBR","UNEMP","TOT","PC_LF","Q","2019-Q2",3.764824,
"USA","UNEMP","TOT","PC_LF","Q","2017-Q4",4.133333,
"USA","UNEMP","TOT","PC_LF","Q","2018-Q1",4.066667,
"USA","UNEMP","TOT","PC_LF","Q","2018-Q2",3.9,
"USA","UNEMP","TOT","PC_LF","Q","2018-Q3",3.8,
"USA","UNEMP","TOT","PC_LF","Q","2018-Q4",3.8,
"USA","UNEMP","TOT","PC_LF","Q","2019-Q1",3.866667,
"USA","UNEMP","TOT","PC_LF","Q","2019-Q2",3.633333,
"USA","UNEMP","TOT","PC_LF","Q","2019-Q3",3.633333,
"CHL","UNEMP","TOT","PC_LF","Q","2017-Q4",6.815326,
"CHL","UNEMP","TOT","PC_LF","Q","2018-Q1",6.929196,
"CHL","UNEMP","TOT","PC_LF","Q","2018-Q2",6.853258,
"CHL","UNEMP","TOT","PC_LF","Q","2018-Q3",6.885189,
"CHL","UNEMP","TOT","PC_LF","Q","2018-Q4",7.203958,
"CHL","UNEMP","TOT","PC_LF","Q","2019-Q1",6.877781,
"CHL","UNEMP","TOT","PC_LF","Q","2019-Q2",6.811536,
"CHL","UNEMP","TOT","PC_LF","Q","2019-Q3",6.862894,
"EST","UNEMP","TOT","PC_LF","Q","2017-Q4",5.383998,
"EST","UNEMP","TOT","PC_LF","Q","2018-Q1",6.521063,
"EST","UNEMP","TOT","PC_LF","Q","2018-Q2",5.082857,
"EST","UNEMP","TOT","PC_LF","Q","2018-Q3",5.396874,
"EST","UNEMP","TOT","PC_LF","Q","2018-Q4",4.488503,
"EST","UNEMP","TOT","PC_LF","Q","2019-Q1",4.476165,
"EST","UNEMP","TOT","PC_LF","Q","2019-Q2",5.077614,
"ISR","UNEMP","TOT","PC_LF","Q","2017-Q4",4.071449,
"ISR","UNEMP","TOT","PC_LF","Q","2018-Q1",3.715266,
"ISR","UNEMP","TOT","PC_LF","Q","2018-Q2",4.015244,
"ISR","UNEMP","TOT","PC_LF","Q","2018-Q3",4.109881,
"ISR","UNEMP","TOT","PC_LF","Q","2018-Q4",4.159079,
"ISR","UNEMP","TOT","PC_LF","Q","2019-Q1",4.018959,
"ISR","UNEMP","TOT","PC_LF","Q","2019-Q2",3.856066,
"ISR","UNEMP","TOT","PC_LF","Q","2019-Q3",3.694003,
"RUS","UNEMP","TOT","PC_LF","Q","2017-Q4",5.061158,
"RUS","UNEMP","TOT","PC_LF","Q","2018-Q1",4.82512,
"RUS","UNEMP","TOT","PC_LF","Q","2018-Q2",4.810823,
"RUS","UNEMP","TOT","PC_LF","Q","2018-Q3",4.79726,
"RUS","UNEMP","TOT","PC_LF","Q","2018-Q4",4.773748,
"RUS","UNEMP","TOT","PC_LF","Q","2019-Q1",4.59334,
"RUS","UNEMP","TOT","PC_LF","Q","2019-Q2",4.6164,
"RUS","UNEMP","TOT","PC_LF","Q","2019-Q3",4.603111,
"SVN","UNEMP","TOT","PC_LF","Q","2017-Q4",5.881619,
"SVN","UNEMP","TOT","PC_LF","Q","2018-Q1",5.486485,
"SVN","UNEMP","TOT","PC_LF","Q","2018-Q2",5.37604,
"SVN","UNEMP","TOT","PC_LF","Q","2018-Q3",5.100604,
"SVN","UNEMP","TOT","PC_LF","Q","2018-Q4",4.46138,
"SVN","UNEMP","TOT","PC_LF","Q","2019-Q1",4.33403,
"SVN","UNEMP","TOT","PC_LF","Q","2019-Q2",4.340584,
"ZAF","UNEMP","TOT","PC_LF","Q","2017-Q4",27.39062,
"ZAF","UNEMP","TOT","PC_LF","Q","2018-Q1",26.5089,
"ZAF","UNEMP","TOT","PC_LF","Q","2018-Q2",26.96473,
"ZAF","UNEMP","TOT","PC_LF","Q","2018-Q3",27.20953,
"ZAF","UNEMP","TOT","PC_LF","Q","2018-Q4",27.81165,
"ZAF","UNEMP","TOT","PC_LF","Q","2019-Q1",27.2941,
"ZAF","UNEMP","TOT","PC_LF","Q","2019-Q2",28.72227,
"ZAF","UNEMP","TOT","PC_LF","Q","2019-Q3",28.84764,
"EU28","UNEMP","TOT","PC_LF","Q","2017-Q4",7.282695,
"EU28","UNEMP","TOT","PC_LF","Q","2018-Q1",7.094655,
"EU28","UNEMP","TOT","PC_LF","Q","2018-Q2",6.898473,
"EU28","UNEMP","TOT","PC_LF","Q","2018-Q3",6.728753,
"EU28","UNEMP","TOT","PC_LF","Q","2018-Q4",6.598122,
"EU28","UNEMP","TOT","PC_LF","Q","2019-Q1",6.434382,
"EU28","UNEMP","TOT","PC_LF","Q","2019-Q2",6.297818,
"OECD","UNEMP","TOT","PC_LF","Q","2017-Q4",5.512159,
"OECD","UNEMP","TOT","PC_LF","Q","2018-Q1",5.381172,
"OECD","UNEMP","TOT","PC_LF","Q","2018-Q2",5.313161,
"OECD","UNEMP","TOT","PC_LF","Q","2018-Q3",5.255815,
"OECD","UNEMP","TOT","PC_LF","Q","2018-Q4",5.229631,"B"
"OECD","UNEMP","TOT","PC_LF","Q","2019-Q1",5.293364,
"OECD","UNEMP","TOT","PC_LF","Q","2019-Q2",5.185323,
"EA19","UNEMP","TOT","PC_LF","Q","2017-Q4",8.674644,
"EA19","UNEMP","TOT","PC_LF","Q","2018-Q1",8.486481,
"EA19","UNEMP","TOT","PC_LF","Q","2018-Q2",8.287798,
"EA19","UNEMP","TOT","PC_LF","Q","2018-Q3",8.041402,
"EA19","UNEMP","TOT","PC_LF","Q","2018-Q4",7.895154,
"EA19","UNEMP","TOT","PC_LF","Q","2019-Q1",7.720978,
"EA19","UNEMP","TOT","PC_LF","Q","2019-Q2",7.523314,
"COL","UNEMP","TOT","PC_LF","Q","2017-Q4",9.501208,
"COL","UNEMP","TOT","PC_LF","Q","2018-Q1",9.435225,
"COL","UNEMP","TOT","PC_LF","Q","2018-Q2",9.639871,
"COL","UNEMP","TOT","PC_LF","Q","2018-Q3",9.597207,
"COL","UNEMP","TOT","PC_LF","Q","2018-Q4",10.19017,
"COL","UNEMP","TOT","PC_LF","Q","2019-Q1",10.44177,
"COL","UNEMP","TOT","PC_LF","Q","2019-Q2",10.32812,
"COL","UNEMP","TOT","PC_LF","Q","2019-Q3",10.74137,
"LVA","UNEMP","TOT","PC_LF","Q","2017-Q4",8.134927,
"LVA","UNEMP","TOT","PC_LF","Q","2018-Q1",8.122128,
"LVA","UNEMP","TOT","PC_LF","Q","2018-Q2",7.644359,
"LVA","UNEMP","TOT","PC_LF","Q","2018-Q3",7.013218,
"LVA","UNEMP","TOT","PC_LF","Q","2018-Q4",6.862058,
"LVA","UNEMP","TOT","PC_LF","Q","2019-Q1",6.841075,
"LVA","UNEMP","TOT","PC_LF","Q","2019-Q2",6.336022,
"LTU","UNEMP","TOT","PC_LF","Q","2017-Q4",6.758868,
"LTU","UNEMP","TOT","PC_LF","Q","2018-Q1",6.669355,
"LTU","UNEMP","TOT","PC_LF","Q","2018-Q2",6.011587,
"LTU","UNEMP","TOT","PC_LF","Q","2018-Q3",5.865829,
"LTU","UNEMP","TOT","PC_LF","Q","2018-Q4",6.041206,
"LTU","UNEMP","TOT","PC_LF","Q","2019-Q1",6.218314,
"LTU","UNEMP","TOT","PC_LF","Q","2019-Q2",6.144924,
